Class,Test,Run 1,Run 2,Run 3,Stability
tests.admin.AdminOrderConfirmationTest,verifyAdminCanLoginSearchAndConfirmGeneratedOrder,PASS,PASS,PASS,STABLE
tests.admin.ShipmentProcessingTest,verifyShipmentProcessingForConfirmedGeneratedOrder,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyAddProductToCartFromSearchResultAfterLoginAndSearch,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyCartPersistenceAfterLogoutAndLoginMatchesBusinessRule,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyDynamicAddButtonSelectorAndToastLifecycle,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyDynamicCartPagePriceCalculationAndRefreshPersistence,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyDynamicProductAddToCartAndQuantityState,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyDynamicProductCardContentAssetsAndAlignment,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyDynamicSearchResultLoadsWithAvailableProductAndNoErrors,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyQuantitySelectionAndRemoveProduct,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyQuantitySelectorOptionsAndSelectedQuantityHighlighting,PASS,PASS,PASS,STABLE
tests.user.AddProductToCartTest,verifyRapidAddClicksDoNotDuplicateCartItemToastOrRequests,PASS,PASS,PASS,STABLE
tests.user.AuthenticationTest,verifyLogoutCancelKeepsSession,PASS,PASS,PASS,STABLE
tests.user.AuthenticationTest,verifyLogoutConfirmLogsOut,PASS,PASS,PASS,STABLE
tests.user.AuthenticationTest,verifySessionPersistsAfterRefresh,PASS,PASS,PASS,STABLE
tests.user.AuthenticationTest,verifySuccessfulLoginRedirectsToHome,PASS,PASS,PASS,STABLE
tests.user.AuthenticationTest,verifyValidOtpLogsInSuccessfully,PASS,PASS,PASS,STABLE
tests.user.HomePageTest,verifyAllNavigationIcons,PASS,PASS,PASS,STABLE
tests.user.HomePageTest,verifyCategoryIcons,PASS,PASS,PASS,STABLE
tests.user.HomePageTest,verifyFooterIcons,PASS,PASS,PASS,STABLE
tests.user.HomePageTest,verifyHeaderLogo,PASS,PASS,PASS,STABLE
tests.user.HomePageTest,verifyHomePageLoads,PASS,PASS,PASS,STABLE
tests.user.HomePageTest,verifyProfileAvatar,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyBrowserBackButtonDoesNotReturnToLoginPageAfterSuccessfulLogin,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyClickingGoogleLoginRedirectsToGoogleAuthenticationPage,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyClickingLinkedInLoginRedirectsToLinkedInAuthenticationPage,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyEmptyPhoneNumberValidation,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyExpiredOtpShowsProperValidationMessage,SKIP,SKIP,SKIP,CONSISTENTLY_SKIPPED
tests.user.LoginTest,verifyGoogleLoginButton,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyIncorrectOtpCannotCompleteLogin,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyInvalidOtpShowsProperValidationMessage,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyInvalidPhoneLengthValidation,PASS,PASS,PASS,STABLE
tests.user.LoginTest,verifyLinkedInLoginButton,PASS,PASS,PASS,STABLE
